year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,GoalDif,name,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
1995,NHL,ANA,ANA,WC,PC,4,,82,35,39,8,,78,,,234,247,-13,Mighty Ducks of Anaheim,1707,22,60,426,14.084507042253522,5,81,423,19.148936170212767,10
1995,NHL,BOS,BOS,EC,NE,2,CQF,82,40,31,11,,91,,,282,269,13,Boston Bruins,1039,10,68,363,18.732782369146005,7,67,341,19.64809384164223,13
1995,NHL,BUF,BUF,EC,NE,5,,82,33,42,7,,73,,,247,262,-15,Buffalo Sabres,2195,14,76,477,15.932914046121594,12,74,461,16.052060737527114,10
1995,NHL,CAL,CAL,WC,PC,2,CQF,82,34,37,11,,79,,,241,240,1,Calgary Flames,1524,24,71,386,18.393782383419687,9,80,402,19.900497512437813,11
1995,NHL,CHI,CHI,WC,CE,2,CSF,82,40,28,14,,94,,,273,220,53,Chicago Blackhawks,1880,20,63,356,17.696629213483146,7,65,447,14.541387024608502,13
1995,NHL,COL,COL,WC,PC,1,SC,82,47,25,10,,104,,,326,240,86,Colorado Avalanche,1536,22,86,404,21.287128712871286,22,71,439,16.173120728929387,21
1995,NHL,DAL,DAL,WC,CE,6,,82,26,42,14,,66,,,227,280,-53,Dallas Stars,1652,12,67,443,15.124153498871332,20,82,418,19.617224880382775,8
1995,NHL,DET,DET,WC,CE,1,CF,82,62,13,7,,131,,,325,181,144,Detroit Red Wings,1551,18,97,455,21.318681318681318,9,44,375,11.733333333333333,17
1995,NHL,EDM,EDM,WC,PC,5,,82,30,44,8,,68,,,240,304,-64,Edmonton Oilers,1709,12,72,452,15.929203539823009,12,80,417,19.18465227817746,10
1995,NHL,FLO,FLO,EC,AT,3,F,82,41,31,10,,92,,,254,234,20,Florida Panthers,1494,16,81,468,17.307692307692307,12,63,370,17.027027027027028,11
1995,NHL,HAR,CAR,EC,NE,4,,82,34,39,9,,77,,,237,259,-22,Hartford Whalers,1844,18,67,372,18.010752688172044,9,83,429,19.34731934731935,8
1995,NHL,LAK,LAK,WC,PC,6,,82,24,40,18,,66,,,256,302,-46,Los Angeles Kings,1460,18,72,401,17.955112219451372,18,72,381,18.89763779527559,12
1995,NHL,MTL,MTL,EC,NE,3,CQF,82,40,32,10,,90,,,265,248,17,Montreal Canadiens,1847,34,77,405,19.012345679012345,11,68,382,17.801047120418847,15
1995,NHL,NJD,NJD,EC,AT,6,,82,37,33,12,,86,,,215,202,13,New Jersey Devils,1486,4,55,368,14.945652173913043,9,49,319,15.360501567398119,11
1995,NHL,NYI,NYI,EC,AT,7,,82,22,50,10,,54,,,229,315,-86,New York Islanders,1669,14,70,372,18.817204301075268,15,90,414,21.73913043478261,8
1995,NHL,NYR,NYR,EC,AT,2,CSF,82,41,27,14,,96,,,272,237,35,New York Rangers,1849,16,85,429,19.813519813519815,11,89,495,17.97979797979798,6
1995,NHL,OTT,OTT,EC,NE,6,,82,18,59,5,,41,,,191,291,-100,Ottawa Senators,1553,16,53,430,12.325581395348838,14,83,375,22.133333333333333,6
1995,NHL,PHI,PHI,EC,AT,1,CSF,82,45,24,13,,103,,,282,208,74,Philadelphia Flyers,1785,20,82,417,19.664268585131893,7,62,437,14.187643020594965,12
1995,NHL,PIT,PIT,EC,NE,1,CF,82,49,29,4,,102,,,362,284,78,Pittsburgh Penguins,1623,12,109,420,25.952380952380956,12,78,467,16.70235546038544,18
1995,NHL,SJS,SJS,WC,PC,7,,82,20,55,7,,47,,,252,357,-105,San Jose Sharks,1480,20,62,385,16.103896103896105,20,93,397,23.425692695214106,15
1995,NHL,STL,STL,WC,CE,4,CSF,82,32,34,16,,80,,,219,248,-29,St. Louis Blues,1823,26,74,448,16.517857142857142,8,82,482,17.012448132780083,11
1995,NHL,TBL,TBL,EC,AT,5,CQF,82,38,32,12,,88,,,238,248,-10,Tampa Bay Lightning,1628,14,83,400,20.75,13,68,439,15.489749430523919,6
1995,NHL,TOR,TOR,WC,CE,3,CQF,82,34,36,12,,80,,,247,252,-5,Toronto Maple Leafs,1742,18,83,438,18.949771689497716,9,70,403,17.3697270471464,11
1995,NHL,VAN,VAN,WC,PC,3,CQF,82,32,35,15,,79,,,278,278,0,Vancouver Canucks,1546,18,69,411,16.78832116788321,13,78,418,18.660287081339714,18
1995,NHL,WAS,WAS,EC,AT,4,CQF,82,39,32,11,,89,,,234,204,30,Washington Capitals,1553,14,63,403,15.632754342431761,7,67,385,17.402597402597404,12
1995,NHL,WIN,PHO,WC,CE,5,CQF,82,36,40,6,,78,,,275,291,-16,Winnipeg Jets,1622,18,82,417,19.664268585131893,12,88,430,20.46511627906977,10
1996,NHL,ANA,ANA,WC,PC,2,CSF,82,36,33,13,,85,,,245,233,12,Mighty Ducks of Anaheim,1710,22,56,333,16.816816816816818,11,62,336,18.452380952380953,9
1996,NHL,BOS,BOS,EC,NE,6,,82,26,47,9,,61,,,234,300,-66,Boston Bruins,1369,4,46,310,14.838709677419354,6,56,308,18.181818181818183,15
1996,NHL,BUF,BUF,EC,NE,1,CSF,82,40,30,12,,92,,,237,208,29,Buffalo Sabres,1840,12,43,326,13.190184049079754,4,59,364,16.208791208791208,16
1996,NHL,CAL,CAL,WC,PC,5,,82,32,41,9,,73,,,214,239,-25,Calgary Flames,1444,16,61,361,16.897506925207757,19,58,345,16.81159420289855,11
1996,NHL,CHI,CHI,WC,CE,5,CQF,82,34,35,13,,81,,,223,210,13,Chicago Blackhawks,1763,14,45,304,14.802631578947366,9,59,374,15.775401069518717,5
1996,NHL,COL,COL,WC,PC,1,CF,82,49,24,9,,107,,,277,205,72,Colorado Avalanche,1361,24,83,403,20.595533498759306,12,42,339,12.389380530973451,14
1996,NHL,DAL,DAL,WC,CE,1,CQF,82,48,26,8,,104,,,252,198,54,Dallas Stars,1325,10,46,314,14.64968152866242,9,51,308,16.558441558441558,11
1996,NHL,DET,DET,WC,CE,2,SC,82,38,26,18,,94,,,253,197,56,Detroit Red Wings,1582,12,66,368,17.934782608695652,8,46,346,13.294797687861271,10
