year,lgID,tmID,franchID,confID,divID,rank,playoff,G,W,L,T,OTL,Pts,SoW,SoL,GF,GA,name,PIM,BenchMinor,PPG,PPC,SHA,PKG,PKC,SHF
1995,NHL,ANA,ANA,WC,PC,4,,82,35,39,8,,78,,,234,247,Mighty Ducks of Anaheim,1707,22,60,426,5,81,423,10
1995,NHL,BOS,BOS,EC,NE,2,CQF,82,40,31,11,,91,,,282,269,Boston Bruins,1039,10,68,363,7,67,341,13
1995,NHL,BUF,BUF,EC,NE,5,,82,33,42,7,,73,,,247,262,Buffalo Sabres,2195,14,76,477,12,74,461,10
1995,NHL,CAL,CAL,WC,PC,2,CQF,82,34,37,11,,79,,,241,240,Calgary Flames,1524,24,71,386,9,80,402,11
1995,NHL,CHI,CHI,WC,CE,2,CSF,82,40,28,14,,94,,,273,220,Chicago Blackhawks,1880,20,63,356,7,65,447,13
1995,NHL,COL,COL,WC,PC,1,SC,82,47,25,10,,104,,,326,240,Colorado Avalanche,1536,22,86,404,22,71,439,21
1995,NHL,DAL,DAL,WC,CE,6,,82,26,42,14,,66,,,227,280,Dallas Stars,1652,12,67,443,20,82,418,8
1995,NHL,DET,DET,WC,CE,1,CF,82,62,13,7,,131,,,325,181,Detroit Red Wings,1551,18,97,455,9,44,375,17
1995,NHL,EDM,EDM,WC,PC,5,,82,30,44,8,,68,,,240,304,Edmonton Oilers,1709,12,72,452,12,80,417,10
1995,NHL,FLO,FLO,EC,AT,3,F,82,41,31,10,,92,,,254,234,Florida Panthers,1494,16,81,468,12,63,370,11
1995,NHL,HAR,CAR,EC,NE,4,,82,34,39,9,,77,,,237,259,Hartford Whalers,1844,18,67,372,9,83,429,8
1995,NHL,LAK,LAK,WC,PC,6,,82,24,40,18,,66,,,256,302,Los Angeles Kings,1460,18,72,401,18,72,381,12
1995,NHL,MTL,MTL,EC,NE,3,CQF,82,40,32,10,,90,,,265,248,Montreal Canadiens,1847,34,77,405,11,68,382,15
1995,NHL,NJD,NJD,EC,AT,6,,82,37,33,12,,86,,,215,202,New Jersey Devils,1486,4,55,368,9,49,319,11
1995,NHL,NYI,NYI,EC,AT,7,,82,22,50,10,,54,,,229,315,New York Islanders,1669,14,70,372,15,90,414,8
1995,NHL,NYR,NYR,EC,AT,2,CSF,82,41,27,14,,96,,,272,237,New York Rangers,1849,16,85,429,11,89,495,6
1995,NHL,OTT,OTT,EC,NE,6,,82,18,59,5,,41,,,191,291,Ottawa Senators,1553,16,53,430,14,83,375,6
1995,NHL,PHI,PHI,EC,AT,1,CSF,82,45,24,13,,103,,,282,208,Philadelphia Flyers,1785,20,82,417,7,62,437,12
1995,NHL,PIT,PIT,EC,NE,1,CF,82,49,29,4,,102,,,362,284,Pittsburgh Penguins,1623,12,109,420,12,78,467,18
1995,NHL,SJS,SJS,WC,PC,7,,82,20,55,7,,47,,,252,357,San Jose Sharks,1480,20,62,385,20,93,397,15
1995,NHL,STL,STL,WC,CE,4,CSF,82,32,34,16,,80,,,219,248,St. Louis Blues,1823,26,74,448,8,82,482,11
1995,NHL,TBL,TBL,EC,AT,5,CQF,82,38,32,12,,88,,,238,248,Tampa Bay Lightning,1628,14,83,400,13,68,439,6
1995,NHL,TOR,TOR,WC,CE,3,CQF,82,34,36,12,,80,,,247,252,Toronto Maple Leafs,1742,18,83,438,9,70,403,11
1995,NHL,VAN,VAN,WC,PC,3,CQF,82,32,35,15,,79,,,278,278,Vancouver Canucks,1546,18,69,411,13,78,418,18
1995,NHL,WAS,WAS,EC,AT,4,CQF,82,39,32,11,,89,,,234,204,Washington Capitals,1553,14,63,403,7,67,385,12
1995,NHL,WIN,PHO,WC,CE,5,CQF,82,36,40,6,,78,,,275,291,Winnipeg Jets,1622,18,82,417,12,88,430,10
1996,NHL,ANA,ANA,WC,PC,2,CSF,82,36,33,13,,85,,,245,233,Mighty Ducks of Anaheim,1710,22,56,333,11,62,336,9
1996,NHL,BOS,BOS,EC,NE,6,,82,26,47,9,,61,,,234,300,Boston Bruins,1369,4,46,310,6,56,308,15
1996,NHL,BUF,BUF,EC,NE,1,CSF,82,40,30,12,,92,,,237,208,Buffalo Sabres,1840,12,43,326,4,59,364,16
1996,NHL,CAL,CAL,WC,PC,5,,82,32,41,9,,73,,,214,239,Calgary Flames,1444,16,61,361,19,58,345,11
1996,NHL,CHI,CHI,WC,CE,5,CQF,82,34,35,13,,81,,,223,210,Chicago Blackhawks,1763,14,45,304,9,59,374,5
1996,NHL,COL,COL,WC,PC,1,CF,82,49,24,9,,107,,,277,205,Colorado Avalanche,1361,24,83,403,12,42,339,14
1996,NHL,DAL,DAL,WC,CE,1,CQF,82,48,26,8,,104,,,252,198,Dallas Stars,1325,10,46,314,9,51,308,11
1996,NHL,DET,DET,WC,CE,2,SC,82,38,26,18,,94,,,253,197,Detroit Red Wings,1582,12,66,368,8,46,346,10
1996,NHL,EDM,EDM,WC,PC,3,CSF,82,36,37,9,,81,,,252,247,Edmonton Oilers,1368,18,73,406,13,59,338,9
1996,NHL,FLO,FLO,EC,AT,3,CQF,82,35,28,19,,89,,,221,201,Florida Panthers,1628,20,50,352,17,50,346,5
1996,NHL,HAR,CAR,EC,NE,5,,82,32,39,11,,75,,,226,256,Hartford Whalers,1513,18,58,321,11,51,332,12
1996,NHL,LAK,LAK,WC,PC,6,,82,28,43,11,,67,,,214,268,Los Angeles Kings,1638,8,46,338,14,45,352,5
1996,NHL,MTL,MTL,EC,NE,4,CQF,82,31,36,15,,77,,,249,276,Montreal Canadiens,1469,24,53,337,11,71,347,10
1996,NHL,NJD,NJD,EC,AT,1,CSF,82,45,23,14,,104,,,231,182,New Jersey Devils,1135,4,40,288,9,28,235,4
1996,NHL,NYI,NYI,EC,AT,7,,82,29,41,12,,70,,,240,250,New York Islanders,1640,18,48,346,9,53,319,14
1996,NHL,NYR,NYR,EC,AT,4,CF,82,38,34,10,,86,,,258,231,New York Rangers,1481,14,63,287,5,69,344,15
1996,NHL,OTT,OTT,EC,NE,3,CQF,82,31,36,15,,77,,,226,234,Ottawa Senators,1087,10,56,336,12,48,265,9
1996,NHL,PHI,PHI,EC,AT,2,F,82,45,24,13,,103,,,274,217,Philadelphia Flyers,1699,8,53,362,8,49,342,11
1996,NHL,PHO,PHO,WC,CE,3,CQF,82,38,37,7,,83,,,240,243,Phoenix Coyotes,1582,16,65,359,14,47,334,9
1996,NHL,PIT,PIT,EC,NE,2,CQF,82,38,36,8,,84,,,285,280,Pittsburgh Penguins,1498,12,74,339,12,64,338,11
1996,NHL,SJS,SJS,WC,PC,7,,82,27,47,8,,62,,,211,278,San Jose Sharks,2085,6,50,349,11,66,409,9
1996,NHL,STL,STL,WC,CE,4,CQF,82,36,35,11,,83,,,236,239,St. Louis Blues,1336,24,50,327,8,55,332,9
1996,NHL,TBL,TBL,EC,AT,6,,82,32,40,10,,74,,,217,247,Tampa Bay Lightning,1686,10,47,340,9,55,361,13
1996,NHL,TOR,TOR,WC,CE,6,,82,30,44,8,,68,,,230,273,Toronto Maple Leafs,1331,12,48,309,8,59,328,11
1996,NHL,VAN,VAN,WC,PC,4,,82,35,40,7,,77,,,257,273,Vancouver Canucks,1607,22,51,303,8,66,344,12
1996,NHL,WAS,WAS,EC,AT,5,,82,33,40,9,,75,,,214,231,Washington Capitals,1652,28,51,322,10,54,354,8
1997,NHL,ANA,ANA,WC,PC,6,,82,26,43,13,,65,,,205,261,Mighty Ducks of Anaheim,1843,10,46,392,10,72,396,9
1997,NHL,BOS,BOS,EC,NE,2,CQF,82,39,30,13,,91,,,221,194,Boston Bruins,1117,12,62,359,3,44,285,5
1997,NHL,BUF,BUF,EC,NE,3,CF,82,36,29,17,,89,,,211,187,Buffalo Sabres,1768,16,51,396,12,65,413,15
1997,NHL,CAL,CAL,WC,PC,5,,82,26,41,15,,67,,,217,252,Calgary Flames,1859,10,43,356,13,69,430,18
1997,NHL,CAR,CAR,EC,NE,6,,82,33,41,8,,74,,,200,219,Carolina Hurricanes,1455,12,50,378,10,58,391,8
1997,NHL,CHI,CHI,WC,CE,5,,82,30,39,13,,73,,,192,199,Chicago Blackhawks,1546,12,47,364,5,58,381,13
1997,NHL,COL,COL,WC,PC,1,CQF,82,39,26,17,,95,,,231,205,Colorado Avalanche,1729,24,74,425,12,53,410,8
1997,NHL,DAL,DAL,WC,CE,1,CF,82,49,22,11,,109,,,242,167,Dallas Stars,1301,14,77,385,9,42,351,11
1997,NHL,DET,DET,WC,CE,2,SC,82,44,23,15,,103,,,250,196,Detroit Red Wings,1346,12,67,381,7,51,376,8
1997,NHL,EDM,EDM,WC,PC,3,CSF,82,35,37,10,,80,,,215,224,Edmonton Oilers,1690,10,77,483,11,66,406,10
1997,NHL,FLO,FLO,EC,AT,6,,82,24,43,15,,63,,,203,256,Florida Panthers,1676,20,55,409,16,82,403,12
1997,NHL,LAK,LAK,WC,PC,2,CQF,82,38,33,11,,87,,,227,225,Los Angeles Kings,1763,22,52,366,12,63,399,10
1997,NHL,MTL,MTL,EC,NE,4,CSF,82,37,32,13,,87,,,235,208,Montreal Canadiens,1547,16,68,372,8,62,401,13
1997,NHL,NJD,NJD,EC,AT,1,CQF,82,48,23,11,,107,,,225,166,New Jersey Devils,1488,8,63,333,9,41,309,4
1997,NHL,NYI,NYI,EC,AT,4,,82,30,41,11,,71,,,212,225,New York Islanders,1646,10,61,364,16,54,384,11
1997,NHL,NYR,NYR,EC,AT,5,,82,25,39,18,,68,,,197,231,New York Rangers,1548,12,62,351,13,55,376,0
1997,NHL,OTT,OTT,EC,NE,5,CSF,82,34,33,15,,83,,,193,200,Ottawa Senators,1091,14,48,375,9,47,303,6
1997,NHL,PHI,PHI,EC,AT,2,CQF,82,42,29,11,,95,,,242,193,Philadelphia Flyers,1766,18,71,399,9,51,382,7
