year,tmID,rank,playoff,G,W,L,Pts,GF,GA,Goal Dif,PIM,BenchMinor,PPG,PPC,PP%,SHA,PKG,PKC,PK%,SHF
1995,ANA,4,,82,35,39,78,234,247,-13,1707,22,60,426,0.1408,5,81,423, 0.1915 ,10
1995,BOS,2,CQF,82,40,31,91,282,269,13,1039,10,68,363,0.1873,7,67,341, 0.1965 ,13
1995,BUF,5,,82,33,42,73,247,262,-15,2195,14,76,477,0.1593,12,74,461, 0.1605 ,10
1995,CAL,2,CQF,82,34,37,79,241,240,1,1524,24,71,386,0.1839,9,80,402, 0.1990 ,11
1995,CHI,2,CSF,82,40,28,94,273,220,53,1880,20,63,356,0.1770,7,65,447, 0.1454 ,13
1995,COL,1,SC,82,47,25,104,326,240,86,1536,22,86,404,0.2129,22,71,439, 0.1617 ,21
1995,DAL,6,,82,26,42,66,227,280,-53,1652,12,67,443,0.1512,20,82,418, 0.1962 ,8
1995,DET,1,CF,82,62,13,131,325,181,144,1551,18,97,455,0.2132,9,44,375, 0.1173 ,17
1995,EDM,5,,82,30,44,68,240,304,-64,1709,12,72,452,0.1593,12,80,417, 0.1918 ,10
1995,FLO,3,F,82,41,31,92,254,234,20,1494,16,81,468,0.1731,12,63,370, 0.1703 ,11
1995,HAR,4,,82,34,39,77,237,259,-22,1844,18,67,372,0.1801,9,83,429, 0.1935 ,8
1995,LAK,6,,82,24,40,66,256,302,-46,1460,18,72,401,0.1796,18,72,381, 0.1890 ,12
1995,MTL,3,CQF,82,40,32,90,265,248,17,1847,34,77,405,0.1901,11,68,382, 0.1780 ,15
1995,NJD,6,,82,37,33,86,215,202,13,1486,4,55,368,0.1495,9,49,319, 0.1536 ,11
1995,NYI,7,,82,22,50,54,229,315,-86,1669,14,70,372,0.1882,15,90,414, 0.2174 ,8
1995,NYR,2,CSF,82,41,27,96,272,237,35,1849,16,85,429,0.1981,11,89,495, 0.1798 ,6
1995,OTT,6,,82,18,59,41,191,291,-100,1553,16,53,430,0.1233,14,83,375, 0.2213 ,6
1995,PHI,1,CSF,82,45,24,103,282,208,74,1785,20,82,417,0.1966,7,62,437, 0.1419 ,12
1995,PIT,1,CF,82,49,29,102,362,284,78,1623,12,109,420,0.2595,12,78,467, 0.1670 ,18
1995,SJS,7,,82,20,55,47,252,357,-105,1480,20,62,385,0.1610,20,93,397, 0.2343 ,15
1995,STL,4,CSF,82,32,34,80,219,248,-29,1823,26,74,448,0.1652,8,82,482, 0.1701 ,11
1995,TBL,5,CQF,82,38,32,88,238,248,-10,1628,14,83,400,0.2075,13,68,439, 0.1549 ,6
1995,TOR,3,CQF,82,34,36,80,247,252,-5,1742,18,83,438,0.1895,9,70,403, 0.1737 ,11
1995,VAN,3,CQF,82,32,35,79,278,278,0,1546,18,69,411,0.1679,13,78,418, 0.1866 ,18
1995,WAS,4,CQF,82,39,32,89,234,204,30,1553,14,63,403,0.1563,7,67,385, 0.1740 ,12
1995,WIN,5,CQF,82,36,40,78,275,291,-16,1622,18,82,417,0.1966,12,88,430, 0.2047 ,10
1996,ANA,2,CSF,82,36,33,85,245,233,12,1710,22,56,333,0.1682,11,62,336, 0.1845 ,9
1996,BOS,6,,82,26,47,61,234,300,-66,1369,4,46,310,0.1484,6,56,308, 0.1818 ,15
1996,BUF,1,CSF,82,40,30,92,237,208,29,1840,12,43,326,0.1319,4,59,364, 0.1621 ,16
1996,CAL,5,,82,32,41,73,214,239,-25,1444,16,61,361,0.1690,19,58,345, 0.1681 ,11
1996,CHI,5,CQF,82,34,35,81,223,210,13,1763,14,45,304,0.1480,9,59,374, 0.1578 ,5
1996,COL,1,CF,82,49,24,107,277,205,72,1361,24,83,403,0.2060,12,42,339, 0.1239 ,14
1996,DAL,1,CQF,82,48,26,104,252,198,54,1325,10,46,314,0.1465,9,51,308, 0.1656 ,11
1996,DET,2,SC,82,38,26,94,253,197,56,1582,12,66,368,0.1793,8,46,346, 0.1329 ,10
1996,EDM,3,CSF,82,36,37,81,252,247,5,1368,18,73,406,0.1798,13,59,338, 0.1746 ,9
1996,FLO,3,CQF,82,35,28,89,221,201,20,1628,20,50,352,0.1420,17,50,346, 0.1445 ,5
1996,HAR,5,,82,32,39,75,226,256,-30,1513,18,58,321,0.1807,11,51,332, 0.1536 ,12
1996,LAK,6,,82,28,43,67,214,268,-54,1638,8,46,338,0.1361,14,45,352, 0.1278 ,5
